,Unnamed: 0,user_no,user_name,mr_sect_no,trade_sort,use_type_code,meter_calibre,user_ms_type
1277,2640189,0002640189,广州市机电技工学校,3065022010,学校用水,学校用水,100.0,计费
1281,2640408,0002640408,广州电池厂,3065162010,化工业,工业用水,,计费
1292,2636144,0002636144,广州市荔湾区中南街海中股份合作经济联合社,3075012010,其他工业,工业用水,,计费
1300,2644107,0002644107,广州美晨股份有限公司,3065162010,其他工业,工业用水,,计费
1302,2644237,0002644237,广州自行车链条厂(税户),3065012010,其他工业,工业用水,100.0,计费
1309,2640802,0002640802,广州复印机厂,3065122010,商业,经营服务用水,,计费
1310,2640860,0002640860,广州市穗港米业有限公司,3065012010,其他工业,工业用水,,计费
1311,2640932,0002640932,广州市花卉科技园有限公司,3075012010,其他工业,工业用水,200.0,计费
1313,2641094,0002641094,广州市荔湾区海龙街增窖股份合作经济联合社,3075012010,其他工业,工业用水,,计费
1315,2641124,0002641124,广州市荔湾区海龙街增滘股份合作经济联合社,3075012010,农村/城中村总表民用,居民生活,100.0,计费
1329,2620389,0002620389,广州市荔湾区中南街海南股份合作经济联合社,3075012010,农村/城中村总表民用,居民生活,150.0,计费
1342,2641225,0002641225,广州市荔湾区海龙街增滘股份合作经济联合社,3075012010,其他工业,工业用水,100.0,计费
1365,2637727,0002637727,广州市荔湾区茶滘街葵蓬股份合作经济联合社,3085052010,其他工业,工业用水,,计费
1366,2637730,0002637730,广州市荔湾区茶滘街葵蓬股份合作经济联合社,3085052010,混合商业,经营服务用水,,计费
1367,2637743,0002637743,广州市荔湾区茶滘街葵蓬股份合作经济联合社,3085052010,其他行政,行政事业,,计费
1368,2637756,0002637756,葵蓬大队 (电话:8891854),3085052010,商业,经营服务用水,150.0,计费
1405,2643999,0002643999,广州市东方纸箱公司,3065162010,其他工业,工业用水,,计费
1432,2817499,0002817499,省计划干部培训中心,1062182010,宾馆,经营服务用水,,计费
1479,2893815,0002893815,文物商店(副业),1062302010,商业,经营服务用水,,计费
1485,2970585,0002970585,肇庆地区驻穗办,1062132010,居民家庭,居民生活,,计费
1486,3141481,0003141481,省岭南工业进出口公司,1062072010,（原）特殊,经营服务用水,,计费
1487,3141494,0003141494,广州市金惠房产建设有限公司,1062152010,行政,行政事业,,计费
1491,3185924,0003185924,肇庆地区驻穗办,1062132010,夜总会,经营服务用水,,计费
1498,3182215,0003182215,省商业局招待所,1062262010,浴足,经营服务用水,,计费
1524,3291102,0003291102,广州天佳房地产有限公司,1062242010,建筑业,经营服务用水,,计费
1571,3415841,0003415841,广州医学院,1062102010,混合商业,经营服务用水,,计费
1602,3425057,0003425057,市人防办,1062022010,部队小区,居民生活,,计费
1606,3444838,0003444838,广州市金盛房地产开发有限公司,1062302010,混合商业,经营服务用水,,计费
1608,3444942,0003444942,市工人文化宫,1062302010,行政,行政事业,,计费
1636,3434316,0003434316,广州市工业经济发展公司,1062162010,商业,经营服务用水,,计费
1650,3445378,0003445378,军区后勤部物资供应,1062342010,商业,经营服务用水,,计费
1658,3440689,0003440689,市羊城兆业集团公司,1062212010,宾馆,经营服务用水,,计费
1663,3436514,0003436514,省计委(副页)占50%,1062122010,单位/集体宿舍,居民生活,,计费
1671,3427301,0003427301,广州空军后勤部,1062112010,行政,行政事业,,计费
1672,3427314,0003427314,广州空军后勤部,1062112010,混合商业,经营服务用水,,计费
1695,3421228,0003421228,广州空军后勤部,1062112010,混合商业,经营服务用水,,计费
1727,3441738,0003441738,广州师范学院(副页),1062052010,饮旅业,经营服务用水,,计费
1750,3428085,0003428085,市科学技术交流中心,1062062010,单位/集体宿舍,居民生活,,计费
1781,3445798,0003445798,广州日报营业宿舍大楼,1062212010,单位/集体宿舍,居民生活,,计费
1807,3454493,0003454493,友谊剧院,1062092010,居民家庭,居民生活,,计费
1819,3432017,0003432017,市园林材料科研所,1062072010,商业,经营服务用水,,计费
1821,3432163,0003432163,广州军区后勤部老干所,1062182010,行政,行政事业,,计费
1827,3445974,0003445974,华茂中心,1062092010,浴足,经营服务用水,,计费
1828,3445987,0003445987,华茂中心,1062092010,行政,行政事业,,计费
1838,3456936,0003456936,广州中医学院(副页),1062042010,饮旅业,经营服务用水,,计费
1843,3435335,0003435335,市电话管理所宿舍,1062272010,邮电通讯,经营服务用水,150.0,计费
1851,3449455,0003449455,广州冶炼机械厂,1062022010,混合商业,经营服务用水,,计费
1905,3450446,0003450446,四省驻穗办事处,1062072010,商业,经营服务用水,,计费
1909,3450589,0003450589,泰康城广场(北秀实业公司),1062292010,居民家庭,居民生活,,计费
1921,3444157,0003444157,金鹰大厦(副业),1062132010,商业,经营服务用水,,计费
1989,6284985,0006284985,新塘镇人民政府,2106012010,商业,经营服务用水,,计费
1990,3826586,0003826586,广州市南力恒房地产建设有限公司,3114712010,居民家庭,居民生活,100.0,计费
2010,3815289,0003815289,华南理工大学(新校区),3054012010,学校用水,学校用水,300.0,计费
2026,3909049,0003909049,海军91708部队司令部管理处,3114762010,单位/集体宿舍,居民生活,,计费
2043,3892536,0003892536,石溪第五经济合作社 (84356989),3114312010,农村/城中村总表民用,居民生活,100.0,计费
2047,3840421,0003840421,广东富润物业经营管理有限公司,3114592010,商业,经营服务用水,,计费
2057,3877092,0003877092,上冲村,3114722010,商业,经营服务用水,,计费
2058,3877106,0003877106,新窖东风村第四经济社,3114722010,商业,经营服务用水,,计费
2060,3877366,0003877366,新窖镇鹭江五社,3114672010,商业,经营服务用水,,计费
2061,3877379,0003877379,广州英华房地产实业有限公司,3114332010,商业,经营服务用水,,计费
2062,3877395,0003877395,池窖南大街村民用水,3114752010,商业,经营服务用水,,计费
2063,3877467,0003877467,三窖村民委员会,3114742010,商业,经营服务用水,,计费
2064,3877470,0003877470,池窖村,3114742010,商业,经营服务用水,,计费
2065,3877496,0003877496,三窖村西绿村,3114742010,商业,经营服务用水,,计费
2066,3877500,0003877500,三窖第八经济合作社,3114742010,商业,经营服务用水,,计费
2067,3893412,0003893412,三窖村委会(工业区),3114742010,商业,经营服务用水,,计费
2090,14805093,0014805093,东山区工商业联会,1061332010,行政,行政事业,,计费
2100,3954052,0003954052,河南园艺场,3114692010,商业,经营服务用水,,计费
2104,3936447,0003936447,新窖镇石溪第二经济合作社,3114312010,建筑业,经营服务用水,100.0,计费
2106,3954733,0003954733,海军91708部队司令部管理处,3114762010,行政,行政事业,200.0,计费
2112,4378150,0004378150,东风村第七经济合作社,3114722010,商业,经营服务用水,,计费
2114,4378189,0004378189,东风村第六经济社,3114722010,商业,经营服务用水,,计费
2121,4378277,0004378277,瑞宝第二经济合作社,3114492010,其他工业,工业用水,,计费
2134,4384188,0004384188,瑞宝第五经济合作社,3114492010,商业,经营服务用水,,计费
2146,4386634,0004386634,仑头村委会,3024012010,商业,经营服务用水,,计费
2170,4385888,0004385888,广东陆军预备役一团,3114682010,部队小区,居民生活,,计费
2176,4386126,0004386126,长洲镇上庄片,3044012010,商业,经营服务用水,,计费
2188,4428262,0004428262,第一军医大学珠江医院,3114282010,居民家庭,居民生活,,计费
2198,4420604,0004420604,中山大学,3114552010,商业,经营服务用水,,计费
2222,4408000,0004408000,广州航道局船舶修造厂,04G820000,机械业,工业用水,,计费
2226,4418128,0004418128,瑞宝第二经济合作社,3114492010,其他工业,工业用水,,计费
2229,4415536,0004415536,华南物资供应站,3114102010,饮旅业,经营服务用水,,计费
2235,4387738,0004387738,海军第三职工大学,3114572010,单位/集体宿舍,居民生活,100.0,计费
2236,4387741,0004387741,海军第二职工大学,04G320000,饮旅业,经营服务用水,,计费
2243,4387187,0004387187,市纺织进出口仓库,3114482010,商业,经营服务用水,100.0,计费
2245,4387204,0004387204,市疏菜研究所,3014012010,行政,行政事业,,计费
2250,4413123,0004413123,广州缝纫机工业大院,3114632010,商业,经营服务用水,150.0,计费
2274,4378479,0004378479,新窖涌村,3114762010,商业,经营服务用水,,计费
2278,4445438,0004445438,省三建房产公司,1061152010,商业,经营服务用水,,计费
2288,4389011,0004389011,软轴钢窗厂,3114612010,（原）特殊,经营服务用水,,计费
2290,4378798,0004378798,瑞宝村工业基地,3114492010,居民（旧）,居民生活,,计费
2291,4378802,0004378802,瑞宝村工业基地 84449138黄朝礼,3114492010,其他工业,工业用水,150.0,计费
2301,4411446,0004411446,副页,3044012010,商业,经营服务用水,,计费
2302,4411459,0004411459,长洲镇深井村委,3044012010,农村/城中村总表民用,居民生活,100.0,计费
2306,4401520,0004401520,市红十字会医院,3114192010,建筑业,经营服务用水,,计费
2311,4421913,0004421913,海军广州基地后勤部干休所,3114702010,商业,经营服务用水,,计费
2316,4424316,0004424316,新洲生产队,3014022010,商业,经营服务用水,,计费
2359,4412423,0004412423,南海舰队干休所,3114762010,商业,经营服务用水,,计费
2360,4417561,0004417561,沙溪二村,3114482010,商业,经营服务用水,,计费
2364,4415389,0004415389,瑞宝村第四经济村,3114492010,商业,经营服务用水,,计费
2373,4398338,0004398338,东风乡第二经济合作社,3114742010,其他工业,工业用水,150.0,计费
2374,4398341,0004398341,东风乡第二经济合作社,3114742010,居民家庭,居民生活,,计费
2376,4413631,0004413631,东风乡第一经济合作社,3114722010,商业,经营服务用水,,计费
2379,4413703,0004413703,广州市农业科学研究所(84216234),3014012010,单位/集体宿舍,居民生活,100.0,计费
2383,2295389,0002295389,市民政局,1061102010,商业,经营服务用水,,计费
2390,4420923,0004420923,石基村,3014022010,商业,经营服务用水,,计费
2395,4412869,0004412869,广州军区医学院177医院,3114762010,商业,经营服务用水,,计费
2396,4412872,0004412872,177医院,3114762010,单位/集体宿舍,居民生活,,计费
2402,4404183,0004404183,广州军区卫校,3114762010,商业,经营服务用水,,计费
2407,4414269,0004414269,瑞宝村第一经济合作社,3114322010,商业,经营服务用水,,计费
2425,4409511,0004409511,龙潭大队,3114722010,商业,经营服务用水,,计费
2429,4414315,0004414315,瑞宝第一经济合作社,3114322010,商业,经营服务用水,,计费
2431,4414331,0004414331,新窖土华村第八生产社,3034012010,商业,经营服务用水,,计费
2433,4409641,0004409641,黄埔村委会,3014022010,商业,经营服务用水,,计费
2437,4409771,0004409771,东风第四合作社,3114722010,商业,经营服务用水,,计费
2441,4491604,0004491604,国家海洋局南海分局,3044012010,商业,经营服务用水,,计费
2448,4406570,0004406570,东风村八.九社,3114722010,商业,经营服务用水,,计费
2450,4416526,0004416526,新窖东风三社,3114722010,商业,经营服务用水,,计费
2454,4389398,0004389398,省化学工业学校,3024012010,学校用水,学校用水,100.0,计费
2456,4389457,0004389457,江南大酒店,3114252010,（原）其他特种,经营服务用水,,计费
2479,4427591,0004427591,建新电器厂,3114642010,商业,经营服务用水,,计费
2482,4427634,0004427634,中南美术院(广州美院),3114432010,饮旅业,经营服务用水,,计费
2494,4402116,0004402116,石溪第七经济合作社,3114312010,商业,经营服务用水,,计费
2495,4402129,0004402129,石溪第三经济合作社,3114312010,商业,经营服务用水,,计费
2498,4417242,0004417242,瑞宝村第六经济合作社,3114492010,商业,经营服务用水,,计费
2509,6319856,0006319856,黄埔发电厂生活区,2096022010,建筑业,经营服务用水,,计费
2514,4436469,0004436469,东亚酒店,1062262010,浴足,经营服务用水,,计费
2518,6320010,0006320010,黄埔公社食品厂,2076042010,建筑业,经营服务用水,,计费
2533,6320179,0006320179,大沙镇双沙村委第三经济社,2096022010,商业,经营服务用水,,计费
2539,6320313,0006320313,黄埔珠江村,2076012010,农村/城中村总表民用,居民生活,,计费
2547,6320443,0006320443,南基乡南湾村,2096022010,其他工业,工业用水,,计费
2554,4531063,0004531063,东山大厦省信托房产公司,1061252010,浴足,经营服务用水,,计费
2570,4414520,0004414520,新窖镇北山乡,3024012010,商业,经营服务用水,,计费
2579,6320791,0006320791,广州市南岗夏园村委员会,2096022010,其他工业,工业用水,,计费
2588,6291293,0006291293,广州港集团有限公司新港港务分公司,2096022010,单位/集体宿舍,居民生活,,计费
2624,6293185,0006293185,南安大队,2096032010,混合商业,经营服务用水,,计费
2625,6293198,0006293198,新墩大队,2096032010,混合商业,经营服务用水,,计费
2638,6296836,0006296836,大沙镇双沙村委会,2096012010,混合商业,经营服务用水,,计费
2651,8158420,0008158420,颐和山庄房地产开发有限公司,4047052010,商业,经营服务用水,,计费
2670,4423993,0004423993,广州丝织印染厂,3114172010,织染业,工业用水,100.0,计费
2671,6316248,0006316248,庙头村,2096022010,农村/城中村总表民用,居民生活,,计费
2675,6305329,0006305329,黄埔庙头乡,2096022010,农村/城中村总表民用,居民生活,,计费
2679,6319696,0006319696,广州市黄埔区大沙三联实业公司,2076082010,混合商业,经营服务用水,,计费
2685,4533519,0004533519,广州市道路扩建工程办公室,3024012010,其他工业,工业用水,100.0,计费
